the_geom,trip_start_timestamp,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
000000000200000002C055E7B38FFEC5804044EDB8335F7553C055EA2FC91A8B7E4044E78DE8F69805,2021-01-31T23:00,41.8571838585,-87.6203346241,POINT (41.8571838585 -87.6203346241),41.8090182499,-87.6591665992,POINT (41.8090182499 -87.6591665992)
000000000200000002C055E813E7AFD05D4044F23DB1E9320DC055E782CB2787E44044EDFF2BE4E03F,2021-01-31T23:00,41.8925077809,-87.6262149064,POINT (41.8925077809 -87.6262149064),41.859349715,-87.6173580061,POINT (41.859349715 -87.6173580061)
000000000200000002C055E9877F324D204044DBD6CFD29421C055E7E53CA7141A4044DA7178C24155,2021-01-31T23:00,41.7174930361,-87.6488950721,POINT (41.7174930361 -87.6488950721),41.7065878819,-87.6233665115,POINT (41.7065878819 -87.6233665115)
000000000200000002C055E991392C6FC04044F61A958BC4A4C055E80325E754BF4044F07EAADEA50C,2021-01-31T23:00,41.9226862843,-87.6494887289,POINT (41.9226862843 -87.6494887289),41.8788655841,-87.6251921424,POINT (41.8788655841 -87.6251921424)
000000000200000002C055E7CE622FFCC64044F04ED806A815C055EC4065A1841A4044EC98C04C1C1E,2021-01-31T23:00,41.8774061234,-87.6219716519,POINT (41.8774061234 -87.6219716519),41.8484115955,-87.6914304807,POINT (41.8484115955 -87.6914304807)
000000000200000002C055E9FBDFCBF1CA4044F8DC6AD2835BC055F141612C116C4044E573AA9D4623,2021-01-31T23:00,41.9442266014,-87.6559981815,POINT (41.9442266014 -87.6559981815),41.7925923603,-87.7696154528,POINT (41.7925923603 -87.7696154528)
000000000200000002C055E76C0B6EB9954044DEBF0FEE3D3EC055E76C0B6EB9954044DEBF0FEE3D3E,2021-01-31T23:00,41.7402057565,-87.6159695226,POINT (41.7402057565 -87.6159695226),41.7402057565,-87.6159695226,POINT (41.7402057565 -87.6159695226)
000000000200000002C055E9FBDFCBF1CA4044F8DC6AD2835BC055EA2FC91A8B7E4044E78DE8F69805,2021-01-31T23:00,41.9442266014,-87.6559981815,POINT (41.9442266014 -87.6559981815),41.8090182499,-87.6591665992,POINT (41.8090182499 -87.6591665992)
000000000200000002C055E7BE590F86734044F14742A31477C055E9263C19EDAF4044EF176D29A413,2021-01-31T23:00,41.8849871918,-87.6209929134,POINT (41.8849871918 -87.6209929134),41.8679024175,-87.6429586652,POINT (41.8679024175 -87.6429586652)
000000000200000002C055EEBC20CB9D3A4044F075C7A82BCBC055E76EBDC463754044E1B21233CFB4,2021-01-31T23:00,41.8785943576,-87.7302324284,POINT (41.8785943576 -87.7302324284),41.7632467988,-87.6161341112,POINT (41.7632467988 -87.6161341112)
000000000200000002C055EC7B16153B07404500337ABACB06C055F0DB879CA1494044FA1D93F752B9,2021-01-31T23:00,42.001571027,-87.6950125892,POINT (42.001571027 -87.6950125892),41.9540276487,-87.7633990316,POINT (41.9540276487 -87.7633990316)
000000000200000002C055E8B26FF8B4A84044F6F216F42566C055ECC8C6B4C9904044F5E77436B553,2021-01-31T23:00,41.9292629902,-87.6358909539,POINT (41.9292629902 -87.6358909539),41.9211259143,-87.6997544065,POINT (41.9211259143 -87.6997544065)
000000000200000002C055EC00411351B44044FCD266C6BDD2C055EA7712502DA34044EFDF688C41A8,2021-01-31T23:00,41.9751709433,-87.6875155152,POINT (41.9751709433 -87.6875155152),41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498)
000000000200000002C055EA101BD6A3A54044F150E5F6CB6BC055E9A31EE492534044DAF56DC0BAD5,2021-01-31T23:00,41.8852813201,-87.6572331997,POINT (41.8852813201 -87.6572331997),41.7106148902,-87.6505810959,POINT (41.7106148902 -87.6505810959)
000000000200000002C055E9B3339632F14044F7D902A75989C055EC6C11B85F0E4044FD6BE61544CC,2021-01-31T23:00,41.9363101308,-87.6515625922,POINT (41.9363101308 -87.6515625922),41.9798553089,-87.6940960217,POINT (41.9798553089 -87.6940960217)
000000000200000002C055ECBA22A3370A4044E89F74B5E49DC055EE2386405CA34044F3357B11A536,2021-01-31T23:00,41.8173662079,-87.6988607973,POINT (41.8173662079 -87.6988607973),41.9000696026,-87.7209182385,POINT (41.9000696026 -87.7209182385)
000000000200000002C055FA78D34C290A4044FD794D125249C055EA756A1534AA4044FE4C927F92EB,2021-01-31T23:00,41.9802643146,-87.913624596,POINT (41.9802643146 -87.913624596),41.9867117999,-87.6634164054,POINT (41.9867117999 -87.6634164054)
000000000200000002C055EC926514D7A84044E5D0ABC130DAC055EC85CC1EF4594044E2CBEEA12005,2021-01-31T23:00,41.795430631,-87.6964352325,POINT (41.795430631 -87.6964352325),41.7718485152,-87.695666342,POINT (41.7718485152 -87.695666342)
000000000200000002C055E4A875C727524044E17B628852A3C055E78C300F63E24044E56BF6246954,2021-01-31T23:00,41.7615779081,-87.5727819867,POINT (41.7615779081 -87.5727819867),41.7923572233,-87.6179313803,POINT (41.7923572233 -87.6179313803)
000000000200000002C055EB0A488A30BC4044EA3AE4E0BC59C055ED2D6B28759E4044F080452B4A8A,2021-01-31T23:00,41.8299223039,-87.6725026464,POINT (41.8299223039 -87.6725026464),41.8789144956,-87.7058971305,POINT (41.8789144956 -87.7058971305)
000000000200000002C055EC35A862FF0C4044F8EFA837C3C6C055EA1321DDA3C94044FF2912AB00DF,2021-01-31T23:00,41.9448137543,-87.6907750098,POINT (41.9448137543 -87.6907750098),41.9934409461,-87.6574177422,POINT (41.9934409461 -87.6574177422)
000000000200000002C055E991392C6FC04044F61A958BC4A4C055EE4D0B415A464044FA0EFAA51B5A,2021-01-31T23:00,41.9226862843,-87.6494887289,POINT (41.9226862843 -87.6494887289),41.9535821253,-87.7234523905,POINT (41.9535821253 -87.7234523905)
000000000200000002C055E627DE2F70924044E78A91997C05C055EE2E06101B734044FBE9AF5BA2BE,2021-01-31T23:00,41.8089162826,-87.5961833442,POINT (41.8089162826 -87.5961833442),41.968069,-87.7215590627,POINT (41.968069 -87.7215590627)
000000000200000002C055EA7712502DA34044EFDF688C41A8C055E9FBDFCBF1CA4044F8DC6AD2835B,2021-01-31T23:00,41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498),41.9442266014,-87.6559981815,POINT (41.9442266014 -87.6559981815)
000000000200000002C055EA756A1534AA4044FE4C927F92EBC055EA7712502DA34044EFDF688C41A8,2021-01-31T23:00,41.9867117999,-87.6634164054,POINT (41.9867117999 -87.6634164054),41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498)
000000000200000002C055E95B854906824044F5FF577BA168C055E86E0EACEDBF4044F512257F3D0D,2021-01-31T23:00,41.9218549112,-87.6462109769,POINT (41.9218549112 -87.6462109769),41.9146162864,-87.6317173661,POINT (41.9146162864 -87.6317173661)
000000000200000002C055E8D27084EFB64044F254E9E62700C055E79B8A03E2534044F209BBA24366,2021-01-31T23:00,41.8932163595,-87.6378442095,POINT (41.8932163595 -87.6378442095),41.8909220259,-87.6188683546,POINT (41.8909220259 -87.6188683546)
000000000200000002C055E9C31FFEDBBA4044F2429EF1535CC055E83F79649E4F4044F22F6FA3D8B6,2021-01-31T23:00,41.8926581076,-87.6525344838,POINT (41.8926581076 -87.6525344838),41.8920726347,-87.6288741572,POINT (41.8920726347 -87.6288741572)
000000000200000002C055E870757DDEE84044F22E6FCD75F3C055E7BE590F86734044F14742A31477,2021-01-31T23:00,41.8920421365,-87.6318639497,POINT (41.8920421365 -87.6318639497),41.8849871918,-87.6209929134,POINT (41.8849871918 -87.6209929134)
000000000200000002C055E8D27084EFB64044F254E9E62700C055E782CB2787E44044EDFF2BE4E03F,2021-01-31T23:00,41.8932163595,-87.6378442095,POINT (41.8932163595 -87.6378442095),41.859349715,-87.6173580061,POINT (41.859349715 -87.6173580061)
000000000200000002C055E991392C6FC04044F61A958BC4A4C055ED84796FB2B44044F82636C34516,2021-01-31T23:00,41.9226862843,-87.6494887289,POINT (41.9226862843 -87.6494887289),41.9386661962,-87.7112105933,POINT (41.9386661962 -87.7112105933)
000000000200000002C055EA101BD6A3A54044F150E5F6CB6BC055E870757DDEE84044F22E6FCD75F3,2021-01-31T23:00,41.8852813201,-87.6572331997,POINT (41.8852813201 -87.6572331997),41.8920421365,-87.6318639497,POINT (41.8920421365 -87.6318639497)
